丁,放,程放,程蔼放,楞%,獴秖,硉,溃,冻秖
2025/2/18,5,2.4,8.5,32,0,15.1,1010.4,3
2025/2/19,4,0.6,8.1,36,0,14,1013.5,1
2025/2/20,4.5,-0.9,9.7,32,0,9.5,1018.9,2
2025/2/21,5.2,1.1,10,32,0,10.4,1020.6,4
2025/2/22,4.5,1.7,8.3,36,0,10.6,1019.9,3
2025/2/23,5.1,0.5,10.2,31,0,10.2,1020.7,3
2025/2/24,4.8,0.3,9.6,38,0,12.5,1018.1,2
2025/2/25,6.9,1.4,11.8,45,0,11.1,1023.2,1
2025/2/26,10.5,4.7,16.9,36,0,9.4,1015.4,3
2025/2/27,10.2,4.8,15.3,41,0,10.5,1019.6,2
2025/2/28,10.9,6.3,16.1,52,0,6.5,1019.6,5
2025/3/1,13.2,7.3,19.2,58,0,10.1,1019.3,3
2025/3/2,14.5,8.2,20.5,57,0,6.8,1014.2,4
2025/3/3,6.5,1.9,13.9,88,26.4,13.2,1016.7,8
2025/3/4,2.4,0.5,4.8,77,7.1,8.4,1026.5,8
2025/3/5,5,0.9,8.3,99,15.7,11.4,1016.2,8
2025/3/6,9.1,7,11.4,60,0.7,12.7,1011.1,8
2025/3/7,7.1,3.5,11,40,0.1,16.6,1019.8,3
2025/3/8,3.3,0.5,5.8,64,4.7,7.2,1027.8,7
2025/3/9,6.8,1.6,12.7,68,0,8.8,1026,4
2025/3/10,9,3.3,14,45,0,9.9,1029.5,2
2025/3/11,10.3,6.8,13.4,71,1.4,7.6,1024.9,7
2025/3/12,11.5,8.9,14.5,96,15.8,6.1,1018.1,8
2025/3/13,14.6,9.7,19.4,72,1.3,7.3,1012.8,7
2025/3/14,12.9,8.8,18.2,33,0,11.6,1020.9,4
2025/3/15,9,7.1,11,48,,7.9,1025.3,6
2025/3/16,6.3,4.9,7.7,95,,10.8,1008.8,8
2025/3/17,10.1,6.8,15.5,66,,10.4,999.8,6
2025/3/18,8.6,4.9,12.3,50,,11.6,1013,6
2025/3/19,5.7,0.7,9.8,82,,14.2,1009.4,5
2025/3/20,8.3,4.4,13.2,54,,8.1,1017.7,4
2025/3/21,11,4.3,17.3,63,,9.4,1012.2,3
2025/3/22,15.6,7,23.1,50,0,8.5,1006,1
2025/3/23,17.5,12.4,25,47,0,8.8,1006.6,2
2025/3/24,14.7,10.1,18.6,75,0,8.3,1010.4,5
2025/3/25,17.6,10.6,24.1,62,0,11.2,1003.3,2
2025/3/26,20.5,15.7,25.6,45,0,13.5,1003.1,3
2025/3/27,17.7,12.6,21.5,68,0,13.8,1008.6,6
2025/3/28,20.2,15.1,25,78,11.3,15.2,999.5,7
2025/3/29,8,4.7,14.1,91,8.6,10.9,1015.4,8
2025/3/30,9.3,5.3,14.5,64,0.7,7.8,1019.5,7
2025/3/31,7.2,5.9,8.2,61,1.3,10.1,1026.9,8
2025/4/1,5.1,4.2,5.7,95,36,11,1026.4,8
2025/4/2,9.3,5.7,13.3,92,46.1,12.1,1016.1,8
2025/4/3,8.6,6.3,9.6,90,7.6,8.5,1013.9,8
2025/4/4,11.3,5.6,17.8,62,0,9.1,1014.7,4
2025/4/5,11.8,6.4,16.3,58,0,11.8,1019.7,4
2025/4/6,15,10.9,18.5,73,0.3,14.1,1015.5,6
2025/4/7,14.4,11.9,19,63,0.7,9.2,1013.1,5
2025/4/8,14.8,8.2,19.3,54,0,10.4,1011.8,5
2025/4/9,16.6,11,23.8,51,0,11.3,1010.2,2
2025/4/10,16.5,12.8,21.9,71,1.3,12.3,1011.2,7
2025/4/11,15.4,13,19.4,85,5.3,6.8,1007.9,8
2025/4/12,15.4,12.1,19.5,68,0,10.3,1013.5,4
2025/4/13,13.1,12,14,89,4.9,9.3,1011.2,8
2025/4/14,16.9,13.4,22.5,71,3.6,13.5,999.4,5
2025/4/15,16.4,11.8,20.9,51,0.9,17.9,993.9,4
2025/4/16,14.8,8.2,19.7,36,0,10.6,1004.8,2
2025/4/17,17.6,10.6,24.6,45,0,10.6,1012.6,4
2025/4/18,19.2,14.4,24.3,65,0,10.4,1013.2,6
2025/4/19,20.8,15.9,27.1,74,0,10.2,1013,4
2025/4/20,20.5,18.2,23.3,72,0,14.8,1010.7,7
2025/4/21,18.8,14.4,24.2,59,0,11.2,1015.1,4
2025/4/22,17.8,13.1,22.3,72,0,13.5,1015.5,6
2025/4/23,17.2,14.1,19.5,95,13.5,12.8,1004.9,8
2025/4/24,19.4,17.1,22.8,84,0.2,10.2,1003.4,7
2025/4/25,18.8,17,21.8,79,4.8,8.1,1006.1,8
2025/4/26,14.7,11,19.1,68,2,10,1013.9,6
2025/4/27,16.8,9.9,22.3,66,0,12,1014.5,3
2025/4/28,17.6,13.6,22,72,12.2,10,1008.4,8
2025/4/29,17.1,13,22.8,59,4.8,8.4,1002.6,4
2025/4/30,17.4,11.5,23.3,46,0,13.1,1015.3,1
2025/5/1,18.2,13,22.7,71,0,13.4,1021.1,4
2025/5/2,16.3,14.1,18.1,90,37.1,12.8,1009.3,8
2025/5/3,18.2,13.9,23.2,61,0,11.2,1005.5,4
2025/5/4,18.5,13.9,25,74,0.6,8,1004.5,5
2025/5/5,17.7,12,22.6,58,0,11.6,1012.7,5
2025/5/6,15,13,17.8,87,19,9,1007.9,8
2025/5/7,17.8,12.9,22.3,67,1.6,12.7,1005.8,6
2025/5/8,18,14.3,22.2,55,0,11.5,1021,4
2025/5/9,18.1,14.9,22.3,76,3.1,12.1,1022.6,7
2025/5/10,18.6,15.5,21.7,96,7.1,12,1003.1,8
2025/5/11,20.6,15.7,25.4,70,0.6,7.4,1001.3,7
2025/5/12,16.8,15.6,19.8,90,8.7,7.8,1008.3,8
2025/5/13,19.7,15.5,24.5,70,0,9.5,1016.9,6
2025/5/14,20.5,15.9,26.2,73,0,8.8,1020.6,6
2025/5/15,21,16.7,26.7,74,0,10.6,1020.7,6
2025/5/16,21.4,17.6,24.5,72,0,10.1,1020.2,7
2025/5/17,21.1,18.9,23.5,93,13.1,14.8,1011.1,8
2025/5/18,24.2,22.4,26.9,81,0,13,1005.1,7
2025/5/19,19.4,17.7,22.3,82,3.5,8.4,1010.2,8
2025/5/20,23.8,16.2,31,70,0,10.6,1009.5,4
2025/5/21,24.7,20.1,29.2,74,0,12.5,1009.4,7
2025/5/22,23.2,17.4,27.4,79,19,12.3,1002.5,8
2025/5/23,18.8,16.7,22.8,65,0,11.9,1012.7,7
2025/5/24,17.8,15.4,20.4,76,2,9.3,1014.9,8
2025/5/25,17.6,14.8,20.3,92,21,6.1,1005,8
2025/5/26,19.1,17.4,21.3,57,0,9.9,1016.5,8
2025/5/27,17.9,16.2,19.8,71,0,8.3,1022.4,8
2025/5/28,19.5,15.9,24.3,70,0.7,9.1,1019.3,7
2025/5/29,19.5,16,22.8,68,2.8,8.4,1017.6,8
2025/5/30,15.1,14.1,16.3,96,25,9.6,1011.7,8
2025/5/31,15.9,15,16.7,85,32.3,12,1001.2,8
2025/6/1,18.6,15.1,23.6,75,0.3,9.9,1003.1,6
2025/6/2,19.9,15.2,24.2,81,0,9.2,1007.2,7
2025/6/3,19,17.9,21.1,95,28.2,8.2,1001.3,8
2025/6/4,22.2,16.8,27.5,83,1.6,8,998.5,6
2025/6/5,22.8,17.6,27.7,70,1.9,10.3,1007.7,3
2025/6/6,23.3,18.5,28,65,0,15.2,1012.4,6
2025/6/7,23.7,20.7,28.6,68,0,12.5,1010.1,6
2025/6/8,23.1,19.9,27.9,77,0.3,6.9,1009.7,7
2025/6/9,22,19.5,25.7,81,5.4,9.3,1012.6,7
2025/6/10,20.4,19.4,21.3,99,18.9,4.4,1010.4,8
2025/6/11,20.8,20.1,21.9,100,8.8,5.9,1008.4,8
2025/6/12,22.8,19.2,27.8,76,0.2,7.6,1013.7,7
2025/6/13,22.4,19.7,25.1,77,0,10,1018.2,7
2025/6/14,22.3,20.8,25.1,84,11,15.7,1013.3,8
2025/6/15,24.8,21.9,28.8,93,14.4,9.4,1000,7
2025/6/16,26.5,23.3,31,84,2,9.6,1003.4,6
2025/6/17,28.9,23.7,33.9,75,0,9.5,1005.9,3
2025/6/18,28.9,24.9,33.7,67,0,11.4,1011.7,3
2025/6/19,27.8,24.1,32.8,76,0,10.1,1014.3,4
2025/6/20,26.6,23.5,30.9,74,0,10.3,1015.2,5
2025/6/21,26.5,22.8,30.1,74,0,13.5,1012.4,6
2025/6/22,28.1,24.4,32.6,67,0,20.8,1007.4,4
2025/6/23,28,25.8,30.9,74,0,17.5,1008.9,6
2025/6/24,27,25.7,28.9,82,0.8,9.6,1014,7
2025/6/25,26.2,24.8,28.5,93,13,9.6,1013.8,7
2025/6/26,27.2,24.7,31.1,86,1.7,12.1,1007.9,7
2025/6/27,27,23.7,31,80,8,7.9,1005,6
2025/6/28,28.2,24.1,33.4,62,0,9.7,1006.8,4
2025/6/29,27.6,23.1,32.3,66,0.1,9.6,1009.4,4
2025/6/30,28.2,24.3,32.6,74,0,11.2,1011.7,5
2025/7/1,28.2,25.6,32.7,82,0.8,9.7,1013.4,6
2025/7/2,28,25.3,32.7,84,9.6,8.4,1013.6,7
2025/7/3,28.5,25.8,32.3,76,0.8,12.4,1012.5,5
2025/7/4,28.3,25.6,33.3,77,0,12.1,1009.2,6
2025/7/5,29,25,33.5,76,1,5.9,1004.7,7
2025/7/6,29.7,26.6,34.4,76,0.6,8.7,1003.5,6
2025/7/7,30,26.8,33.8,75,0,9.8,1005.1,6
2025/7/8,30.2,26.6,34.2,72,0,12.1,1008.5,3
2025/7/9,29.9,27.5,33.7,73,0,15.6,1010.8,3
2025/7/10,28.5,22.6,34.6,77,12.5,11.9,1011.8,5
2025/7/11,23.2,21.9,24.8,83,26.2,13.1,1014.7,7
2025/7/12,23.5,20.8,26.3,74,0,9.6,1012.5,7
2025/7/13,26.7,22.5,32,74,1.4,9,1007.6,6
2025/7/14,26.9,25.3,29.5,85,10.2,14.3,1000.2,7
2025/7/15,26.9,25.2,29.8,92,11.3,22,1004.6,8
2025/7/16,26.4,24.7,27.5,92,23.5,17.3,1013.8,7
2025/7/17,27.3,24.2,30.8,81,2.2,18.4,1018,7
2025/7/18,27.8,25,31.3,76,0,15.3,1017.5,6
2025/7/19,28.3,24.8,32.8,74,0,13.9,1016.9,5
2025/7/20,28.7,25.4,32.9,76,0,13.6,1016.7,4
2025/7/21,29.7,25.8,33.8,76,0.1,10.8,1016.4,3
2025/7/22,29.5,26.1,33.4,78,0,11.1,1015.2,5
2025/7/23,29.4,26,33.2,75,0,11.1,1013.4,5
2025/7/24,29.8,25.7,33.9,74,0.2,10.6,1012.1,4
2025/7/25,30.2,26.1,34.6,73,0.3,12.2,1011.8,3
2025/7/26,30.3,26.9,34.5,70,0,12,1011.3,2
2025/7/27,29.4,26.9,33.6,74,0,12.5,1008.7,5
2025/7/28,30.1,25.5,34.9,72,0,9.2,1005,4
2025/7/29,30,25.1,35.5,69,0,10.9,1003.5,2
2025/7/30,29.2,25.8,33.8,69,0,11,1004.5,2
2025/7/31,27.9,24.9,32.4,68,0,12.1,1005.7,3
2025/8/1,26.3,23.8,29.5,82,6.5,11.6,1002.1,6
2025/8/2,28.9,25.1,34.4,84,2.7,13.5,999,6
2025/8/3,30.4,26.3,36.1,77,0,9.5,1002.7,6
2025/8/4,31.3,28,35.2,67,0,15.7,1005.2,3
2025/8/5,32.2,28.6,36.3,66,0,11.7,1004.4,4
2025/8/6,32.3,29,36.2,68,0.9,8.8,1002.6,5
2025/8/7,29.5,27.4,32.5,76,0.4,7,998.2,6
2025/8/8,28.8,25,33.9,71,5.2,9.3,1001.2,5
2025/8/9,28.3,25.4,32.6,70,0,9.5,1006.7,6
2025/8/10,26.3,25,27.3,90,7,14.6,1005.5,8
2025/8/11,27.1,25.8,29.2,91,17.2,20.1,1006.4,8
2025/8/12,28.2,26.1,30,82,0.6,16.4,1010.2,7
2025/8/13,28,25.6,30.7,76,0.1,8.5,1016,7
2025/8/14,27.8,25.1,31.9,71,0,9.3,1017.1,6
2025/8/15,28.6,24.9,33,73,0,10.2,1014.1,4
2025/8/16,28.8,26.8,32.6,80,0.2,10.6,1013.9,6
2025/8/17,29.9,26.7,34,76,0,11.5,1013.2,5
2025/8/18,30.9,27,36.7,68,2.3,9.4,1014.2,6
2025/8/19,30,26.7,34,75,0,10.1,1012.5,3
2025/8/20,30.3,26.5,34.5,72,0,9.7,1010.3,4
2025/8/21,31.3,27.7,36.1,63,0.1,8.8,1010,4
2025/8/22,30.3,27.8,34.6,71,1.8,7.9,1010.6,6
2025/8/23,30.4,26.9,35,73,0.3,9.3,1010.4,6
2025/8/24,31.3,27.2,36.3,70,0.3,8.1,1011.5,4
2025/8/25,30.5,27.9,34.5,71,0.1,9.2,1013.6,5
2025/8/26,30.5,27.8,33.9,74,0,12.7,1011.8,4
2025/8/27,31.1,28.4,35.2,67,0,13.7,1008.8,3
2025/8/28,29,26.9,31.6,66,0.2,9.9,1013.4,6
2025/8/29,29,25.4,33.3,71,0,9.3,1014.8,5
2025/8/30,31.5,27,37.7,68,0,8.6,1013.1,4
2025/8/31,31.2,28,35.5,69,0,10.1,1012.9,3
2025/9/1,30.9,28.3,35.4,71,0,14.1,1011.3,3
2025/9/2,31.2,28.3,35.9,66,0,15.5,1009.2,4
2025/9/3,30.6,27.6,34.7,68,1.2,9.2,1010.5,5
2025/9/4,26.5,25.7,28,90,9.9,6.5,1013.7,8
2025/9/5,25.4,23.7,26.3,96,30.7,9.5,1007.2,7
2025/9/6,27.1,23.3,32.3,72,0,9.6,1009.4,4
2025/9/7,28,25.1,31.5,77,0,12.2,1008.9,4
2025/9/8,28.7,25.4,32.8,81,0.6,7.9,1008.9,4
2025/9/9,29.3,26.7,32.5,80,1.1,8.7,1011,5
2025/9/10,28.1,26.7,30.9,86,4,8.3,1012.8,6
2025/9/11,27.6,23.5,32.6,83,13.8,9.1,1014,7
2025/9/12,24.4,23,26.4,90,9.1,7.9,1018.2,7
2025/9/13,25.8,22.9,28.9,91,4,9.9,1013.9,8
2025/9/14,28.4,26.7,30.6,82,0,10.6,1009.5,7
2025/9/15,27.4,25.6,29.5,79,0,7.4,1015.2,7
2025/9/16,28.5,25.9,32.5,80,0.4,10.1,1014.9,5
2025/9/17,29.4,26.5,34.2,78,0,10,1010.4,4
2025/9/18,28.5,24,33.3,79,14.1,8.9,1008.4,6
2025/9/19,22.7,20.1,24.2,79,5.1,9.9,1017.6,8
2025/9/20,23.7,21.7,26,84,1.8,8.2,1013.9,8
2025/9/21,26.4,23.4,30,71,12,9.9,1009,6
2025/9/22,22.3,19.6,26.1,64,0.8,10.4,1020.4,6
2025/9/23,21.7,19.3,25.3,63,0,7.9,1023.3,5
2025/9/24,22.1,18.5,26.8,65,0,7.6,1023.1,4
2025/9/25,23.6,19.7,28.4,72,0,8.2,1019.5,5
2025/9/26,25.8,21.4,30.6,75,2.8,7.6,1015,4
2025/9/27,24.8,23,27.6,70,0.7,9,1016.2,6
2025/9/28,24.8,21.5,28.6,70,0.1,9.8,1015,6
2025/9/29,26.7,23.7,30.5,70,0.4,10.9,1003.8,6
2025/9/30,24.5,22.5,27,64,0.8,9.7,1011.5,6
2025/10/1,20.9,18.5,22.7,89,14.2,7,1012.5,7
2025/10/2,21.8,17.6,26.4,76,0,6.7,1015.7,5
2025/10/3,22.4,19.7,25.4,72,0,6.4,1022.3,7
2025/10/4,21.6,20.4,23.3,85,1.4,6.8,1020.3,7
2025/10/5,23.5,20.3,26.9,86,0.4,6.2,1013.8,6
2025/10/6,24.4,21.5,27.7,80,2,8.6,1012.4,7
2025/10/7,21.6,20.4,23.5,73,0,9.3,1019.9,8
2025/10/8,22.6,19.5,25.8,76,0,7.1,1014.6,7
2025/10/9,20.4,16.9,22.3,79,1.9,12.4,1014.3,7
2025/10/10,18.9,15.8,22.4,66,0,8.4,1019.3,5
2025/10/11,17.9,16.4,21,84,0,7.4,1019.4,7
2025/10/12,19.4,15.9,22.9,92,0,6.2,1011.6,7
2025/10/13,21.4,19.4,24.5,87,1.2,9,1010.7,7
2025/10/14,18.9,16.9,20.9,78,0.9,8.2,1018.6,7
2025/10/15,17.7,15.5,20.1,88,6.7,7.6,1021.8,7
2025/10/16,18.4,16.7,19.9,96,15.2,5.9,1018,8
2025/10/17,20.3,17.7,24.6,77,0.7,8.1,1020.8,3
2025/10/18,20.6,16,24.4,80,0.2,8.9,1018.8,5
2025/10/19,20.1,16.6,22.9,81,0.3,8,1019.2,7
2025/10/20,17.4,15.3,19.8,91,20.9,7.3,1019,8
2025/10/21,15.3,13.8,17.2,73,2.6,9,1025.4,8
2025/10/22,12.6,11.3,14.8,84,29.6,7.9,1027.8,8
2025/10/23,13.9,11,17,72,0,8.5,1026.5,6
2025/10/24,14.4,12.1,17.1,68,1,8.3,1026.3,6
2025/10/25,13.5,12.5,14.4,93,10.3,8,1024.2,8
2025/10/26,15.1,13.5,16.3,100,28.3,6.5,1012.8,7
2025/10/27,17.9,15,22.1,77,0.1,5.9,1007.6,5
2025/10/28,16.6,14.4,20.4,51,0.2,10,1016.9,4
2025/10/29,13.9,12.1,16.6,54,0,9.7,1027.1,6
2025/10/30,13.9,10.1,18.1,64,0,8.3,1028,3
2025/10/31,14.9,13.2,17.4,80,52.4,8.4,1019,7
2025/11/1,16.7,12.8,21.9,78,1.1,7.3,1001.8,4
2025/11/2,15.8,12.9,19.4,70,0,6.9,1010.2,5
2025/11/3,14.6,11.8,19.3,62,0,11.3,1015.8,2
2025/11/4,12.9,9.7,17.4,56,0,7.8,1027.6,3
2025/11/5,13,9.7,16.1,66,0,7,1025.8,6
2025/11/6,15.2,11.9,18.6,72,0,8.8,1018.6,6
2025/11/7,16,12.5,21.1,49,0,10.5,1019.4,1
2025/11/8,13.8,11.7,16.4,54,0,8.4,1025.7,5
2025/11/9,12.1,11,12.9,92,10.6,6,1016.4,8
2025/11/10,14.4,10.8,20.2,69,1.4,9.6,1005.6,4
2025/11/11,12.8,10.3,16.4,50,0,11,1015.6,4
2025/11/12,12.1,9.2,15.1,54,0,8.8,1022.4,3
2025/11/13,11.7,9.8,14.2,70,0,6.1,1015.9,7
2025/11/14,14.2,9.9,19.3,66,0,6.9,1014.3,3
2025/11/15,14.4,12.1,17.8,62,0,7.8,1023.3,4
2025/11/16,13.7,10.9,17.3,67,0,6,1027.6,6
2025/11/17,15.5,10.9,20.8,67,0,8,1015.6,2
2025/11/18,12.6,9,14.4,52,0.5,8.3,1011.1,6
2025/11/19,9.4,6.2,13.6,53,0,6.9,1020,2
2025/11/20,9.8,6.7,14.2,62,0,6.6,1021.4,3
2025/11/21,11.1,6.3,16.5,66,0,6.8,1015.8,1
2025/11/22,12.1,8.2,16.4,62,0,6.7,1022,2
2025/11/23,11.8,10.4,13.8,72,0,6.7,1023.2,6
2025/11/24,13,8.6,17.8,65,0,5.6,1017.2,3
2025/11/25,12.3,9.9,15.3,70,0,5.9,1009.7,4
2025/11/26,12.8,9.5,17.7,58,0,12.7,1012.9,2
2025/11/27,12,8.8,15,62,0,7.2,1019.3,4
2025/11/28,13.9,10.7,18.3,65,0,7.6,1009.7,3
2025/11/29,12.1,10.3,14.8,61,0,8.1,1014.4,4
2025/11/30,12.3,8.8,16.8,63,0,7.7,1009.8,3
2025/12/1,12.3,9.3,16.5,55,0,8.9,1012.2,2
2025/12/2,12,9,15.4,57,0,7.2,1015.4,3
2025/12/3,11.3,8.2,14.7,60,0,9.2,1013.6,4
2025/12/4,8.2,5.3,11.5,35,0,9.8,1012.6,1
2025/12/5,7.3,3.1,11.8,45,0,7.2,1015.5,0
2025/12/6,7.3,3.8,11.3,53,0,5.6,1022.1,2
2025/12/7,9.3,4,15,54,0,5.8,1018.4,0
2025/12/8,11.4,6.1,16.9,53,0,6.9,1015.5,3
2025/12/9,10.2,8.1,12.6,47,0,9.1,1019.9,4
2025/12/10,8.9,4.4,13.2,51,0,5.5,1021.8,2
2025/12/11,9.9,5.6,14.3,59,0,9.6,1016.2,4
2025/12/12,8.4,5.3,10.8,38,0,18.9,1020.1,1
2025/12/13,5.7,3.6,8.2,48,3.2,8.5,1025.8,6
2025/12/14,6.3,3.9,9.6,91,1.6,7,1006.1,6
2025/12/15,8.8,5.7,13.7,54,0,11,1012.7,1
2025/12/16,7.9,5,11.7,53,0,6.1,1019.6,2
2025/12/17,8.8,5.3,13.4,64,0,6.6,1017.1,2
2025/12/18,9.2,7,12.8,51,0,9.1,1022.1,2
2025/12/19,7.9,5,10.7,60,0,5.6,1029,4
2025/12/20,10.4,5.9,14.7,71,0.6,5.9,1025.6,6
2025/12/21,11.9,8.5,14.6,90,5.1,7,1015.9,8
2025/12/22,9.9,6.7,11.6,53,0.1,12,1022.7,6
2025/12/23,6.4,3.6,9.4,56,0,6.9,1029.6,4
2025/12/24,6.3,4.9,7.2,89,0,6.8,1017.9,8
2025/12/25,8.9,6.9,10.4,98,0,5.8,1002.6,8
2025/12/26,7.9,3.2,11.3,58,0,14.4,1002.9,3
2025/12/27,4.2,2.2,6.9,49,0,7.6,1017.9,4
2025/12/28,5.9,1.8,11,55,0,6.4,1021,1
2025/12/29,7.1,3.2,11.1,64,0,6.4,1019.6,2
2025/12/30,9.3,3.8,14.7,60,0,5.7,1013.4,2
2025/12/31,8.4,4.4,12.1,56,0,6.3,1011.5,4
